,title,description,publishedAt
238,Sen. David Perdue pulls out of final debate with Jon Ossoff - CNN Video,"With Election Day just days away, CNN's David Chalian takes a closer look at some tight senate races including Georgia where Republican Sen. David Perdue has said that he will not attend the final debate with Democratic challenger Jon Ossoff. ",2020-10-30
239,Mnuchin and Pelosi clash as coronavirus relief talks falter,"House Speaker Nancy Pelosi and Treasury Secretary Steven Mnuchin, the two top negotiators for a new round of coronavirus relief, are engaged in open warfare after weeks of private negotiations -- casting new doubt on whether they will be able to reach agreement on stimulus legislation even after the November election.",2020-10-30
240,What Matters: We made it to the Friday before Election Day. Here's what to know - CNNPolitics,Days to the election: 4 as of Friday,2020-10-30
241,"Philadelphia City Council passes bill banning use of tear gas, rubber bullets and pepper spray during protests - CNN","The bill, which passed 14-3 Thursday, came in response to violence between protesters and police after George Floyd's death in Minneapolis.",2020-10-30
242,What Matters: We made it to the Friday before Election Day. Here's what to know - CNNPolitics,Days to the election: 4 as of Friday,2020-10-30
243,"Philadelphia City Council passes bill banning use of tear gas, rubber bullets and pepper spray during protests - CNN","The bill, which passed 14-3 Thursday, came in response to violence between protesters and police after George Floyd's death in Minneapolis.",2020-10-30
244,"Biden campaign blames Facebook for $500,000 in lost fundraising  - CNN","Democratic nominee Joe Biden's campaign said Thursday it had lost out on more than $500,000 in potential campaign donations this week and blamed Facebook after issues with the social media's advertising systems had prevented the campaign from running some ads soliciting donations. ",2020-10-30
245,Melania Trump misleads on Trump's record in joint campaign stop - CNNPolitics,"First lady Melania Trump pitched President Donald Trump as a tireless warrior for health care at a rally on Thursday, claiming that health care for every citizen is his priority, even though his administration has worked to dismantle the Affordable Care Act since he took office. ",2020-10-30
246,Going deeper on the battle for Hispanic voters - CNNPolitics,"The fight for the roughly 32 million eligible Latino voters is on, despite the relatively meager attention this bloc has received. With Election Day near, Latino voters are expected to be consequential in states including Florida and Arizona.",2020-10-30
247,Breonna Taylor grand jurors say there was an 'uproar' when they realized officers wouldn't be charged with her death - CNN,"Two grand jurors who heard the Kentucky Attorney General's Office presentation of the Breonna Taylor case say prosecutors were dismissive of their questions and that there was an ""uproar"" when jurors realized Louisville police officers wouldn't be charged with Taylor's death.",2020-10-30
248,Melania Trump misleads on Trump's record in joint campaign stop - CNNPolitics,"First lady Melania Trump pitched President Donald Trump as a tireless warrior for health care at a rally on Thursday, claiming that health care for every citizen is his priority, even though his administration has worked to dismantle the Affordable Care Act since he took office. ",2020-10-30
249,"Americans hate political opponents more than they love their party, study finds - CNN","Americans now hate people in the opposite political party more than they love their own party, with disrupting implications about behavior, a new study finds.",2020-10-30
250,Mnuchin says he was personally involved in securing nearly $4 million for 9/11 first responders health program - CNNPolitics,"Treasury Secretary Steve Mnuchin said Thursday he was ""personally engaged"" in the move to refund nearly $4 million previously withheld from the health care program assisting September 11 first responders who suffer lasting health effects from the attack and ensuing cleanup efforts.",2020-10-30
251,Colombia's peace deal could hang on the US election - CNN,"As Colombia struggles with mounting protests, deteriorating security and the coronavirus pandemic, some local politicians are showing a burning interest in the US election result -- which could be pivotal in the battle for the future of their nation.",2020-10-30
252,Going deeper on the battle for Hispanic voters - CNNPolitics,"The fight for the roughly 32 million eligible Latino voters is on, despite the relatively meager attention this bloc has received. With Election Day near, Latino voters are expected to be consequential in states including Florida and Arizona.",2020-10-30
253,Pelosi says she hopes for stimulus deal in lame duck  - CNNPolitics,"House Speaker Nancy Pelosi and Treasury Secretary Steven Mnuchin, the two top negotiators for a new round of coronavirus relief, are engaged in a public war of words after weeks of private negotiations — casting new doubt on whether congressional Democrats and the Trump administration will be able to reach agreement on stimulus legislation even after next week's election.",2020-10-30
254,Melania Trump misleads on Trump's record in joint campaign stop - CNNPolitics,"First lady Melania Trump pitched President Donald Trump as a tireless warrior for health care at a rally on Thursday, claiming that health care for every citizen is his priority, even though his administration has worked to dismantle the Affordable Care Act since he took office. ",2020-10-30
255,Mnuchin says he was personally involved in securing nearly $4 million for 9/11 first responders health program - CNNPolitics,"Treasury Secretary Steve Mnuchin said Thursday he was ""personally engaged"" in the move to refund nearly $4 million previously withheld from the health care program assisting September 11 first responders who suffer lasting health effects from the attack and ensuing cleanup efforts.",2020-10-30
256,Going deeper on the battle for Hispanic voters - CNNPolitics,"The fight for the roughly 32 million eligible Latino voters is on, despite the relatively meager attention this bloc has received. With Election Day near, Latino voters are expected to be consequential in states including Florida and Arizona.",2020-10-30
257,Trump relying on government officials in final campaign stretch - CNNPolitics,"As President Donald Trump makes a hurried final push for reelection, he is relying not only on his campaign staff but on government officials to transmit his message to voters, a breach of longstanding norms that have mostly been erased over his four-year tenure.",2020-10-30
258,"Federal appeals court rules mailed ballots must be received by Election Day in Minnesota, cutting weeklong window - CNNPolitics",The 8th US Circuit Court of Appeals has ruled that mailed-in ballots in Minnesota must be received by elections officials no later than Election Day.,2020-10-30
259,"With Senate at risk, Trump focuses on himself - CNNPolitics","After President Donald Trump took the controversial step of commuting the jail sentence of his longtime friend Roger Stone, Sen. Susan Collins was again stuck between the leader of her party and the Trump-aligned voters she needs to win a tough reelection.",2020-10-30
260,Trump relying on government officials in final campaign stretch - CNNPolitics,"As President Donald Trump makes a hurried final push for reelection, he is relying not only on his campaign staff but on government officials to transmit his message to voters, a breach of longstanding norms that have mostly been erased over his four-year tenure.",2020-10-30
261,"Federal appeals court rules mailed ballots must be received by Election Day in Minnesota, cutting weeklong window - CNNPolitics",The 8th US Circuit Court of Appeals has ruled that mailed-in ballots in Minnesota must be received by elections officials no later than Election Day.,2020-10-30
262,Warren Buffett has yet to endorse a presidential candidate - CNN,Warren Buffett has been surprisingly quiet about the presidential election. ,2020-10-30
263,New Zealand votes to legalize euthanasia - CNN,New Zealanders have voted in favor of legalizing euthanasia for people with a terminal illness -- clearing the way for the controversial proposition to become law in 2021.  ,2020-10-30
264,Wisconsin voter: This is my biggest reason for voting for Trump ... - CNN Video,CNN's Bill Weir speaks with Wisconsin voters about how President Donald Trump's handling of the coronavirus will impact their vote in the 2020 election.,2020-10-30
265,New Zealand votes to legalize euthanasia - CNN,New Zealanders have voted in favor of legalizing euthanasia for people with a terminal illness -- clearing the way for the controversial proposition to become law in 2021.  ,2020-10-30
266,The congressional candidates who have engaged with the QAnon conspiracy theory,"Nearly two dozen Republicans across the country who have engaged with the QAnon conspiracy will also appear on the ballot this November in their congressional districts – or in two cases, statewide as Senate candidates – as well as one unaffiliated independent candidate and one Independent Party candidate.",2020-10-30
267,Opinion: The President's callous words swirling in my head after my mother's death from Covid-19 - CNN,"At the beginning of the pandemic, I thought I could control the situation if I holed up at home with my husband and two children and stayed away from the unruly, unmasked crowds of suburban Texas, writes Pamela Skjolsvik.",2020-10-30
268,Early voting: Pivotal Midwest states see uptick in young voters - CNNPolitics,"More than 6 million ballots have already been cast in four pivotal Midwest states: Iowa, Michigan, Minnesota and Wisconsin.",2020-10-30
269,McConnell targets early 2021 for new stimulus bill - CNNPolitics,"Senate Majority Leader Mitch McConnell said Friday a new coronavirus stimulus bill should be considered at the beginning of 2021, not in a post-election lame duck session of Congress as some lawmakers had hoped would happen after pre-election talks failed.",2020-10-30
270,Opinion: The President's callous words swirling in my head after my mother's death from Covid-19 - CNN,"At the beginning of the pandemic, I thought I could control the situation if I holed up at home with my husband and two children and stayed away from the unruly, unmasked crowds of suburban Texas, writes Pamela Skjolsvik.",2020-10-30
271,Early voting: Pivotal Midwest states see uptick in young voters - CNNPolitics,"More than 6 million ballots have already been cast in four pivotal Midwest states: Iowa, Michigan, Minnesota and Wisconsin.",2020-10-30
272,McConnell targets early 2021 for new stimulus bill - CNNPolitics,"Senate Majority Leader Mitch McConnell said Friday a new coronavirus stimulus bill should be considered at the beginning of 2021, not in a post-election lame duck session of Congress as some lawmakers had hoped would happen after pre-election talks failed.",2020-10-30
273,Opinion: Why Jews should vote for Joe Biden - CNN,"I have devoted my life to fighting anti-Semitism, defending Israel's security and seeking restitution for Holocaust survivors, writes Stuart E. Eizenstat. I can proudly affirm that Biden has been a highly outspoken and effective leader for these causes. ",2020-10-30
274,Opinion: The President's callous words swirling in my head after my mother's death from Covid-19 - CNN,"At the beginning of the pandemic, I thought I could control the situation if I holed up at home with my husband and two children and stayed away from the unruly, unmasked crowds of suburban Texas, writes Pamela Skjolsvik.",2020-10-30
275,McConnell targets early 2021 for new stimulus bill - CNNPolitics,"Senate Majority Leader Mitch McConnell said Friday a new coronavirus stimulus bill should be considered at the beginning of 2021, not in a post-election lame duck session of Congress as some lawmakers had hoped would happen after pre-election talks failed.",2020-10-30
276,Early voting: Pivotal Midwest states see uptick in young voters - CNNPolitics,"More than 6 million ballots have already been cast in four pivotal Midwest states: Iowa, Michigan, Minnesota and Wisconsin.",2020-10-30
277,McConnell targets early 2021 for new stimulus bill - CNNPolitics,"Senate Majority Leader Mitch McConnell said Friday a new coronavirus stimulus bill should be considered at the beginning of 2021, not in a post-election lame duck session of Congress as some lawmakers had hoped would happen after pre-election talks failed.",2020-10-30
278,The 2 BIG reasons why we aren't likely to see the election called on November 3 - CNNPolitics,The big question heading into the final weekend of the 2020 campaign is this: Will we know who won the White House on Tuesday?,2020-10-30
279,Democratic concerns about Latino support linger in final days of campaign - CNNPolitics,"Democrats are concerned about lower enthusiasm among Latino voters in the final days of the 2020 campaign, warning it could cause the party and its presidential nominee Joe Biden to come up short in key states on Election Day.",2020-10-30
280,Thousands call Pennsylvania county about requested ballots that never arrived - CNNPolitics,"The whereabouts of an untold number of ballots in Pennsylvania's Butler County that were slated for delivery to would-be voters in next week's election remain unaccounted for, the county's director of elections said Thursday.",2020-10-30
281,Turkey earthquake: Magnitude-7.0 tremor strikes in the Aegean Sea - CNN,"A 7.0-magnitude earthquake hit the Aegean Sea on Friday afternoon, jolting western Turkey and destroying buildings in coastal cities there.",2020-10-30
282,"'Don't end up a real ghost,' South Korean officials warn, fearing Halloween virus surge - CNN","South Korean officials are stepping up efforts to ensure locals stick to social distancing guidelines during Halloween, warning this year's party ""could really turn scary"" as it tries to avoid another resurgence in coronavirus infections.",2020-10-30
283,"'This Is Us' gira en torno a la actualidad, mientras introduce un nuevo giro","La quinta temporada de ""This Is Us"" se centra en los eventos actuales como la pandemia, el asesinato de George Floyd y Black Lives Matter.",2020-10-30
284,US cites 'credible allegations' of fraud in Tanzania election - CNN,"The United States said on Thursday there were ""serious doubts"" about the credibility of Tanzania's presidential election while the leading opposition candidate urged countries not to recognize the results of a ""travesty"" of a poll.",2020-10-30
285,The US election is likely the most bet-on event in history - CNN,"Americans aren't the only ones obsessed with next Tuesday's vote. British bettors are wagering a record amount of money on the US presidential election, dwarfing the amount wagered on any sporting event or even their own nation's politics.",2020-10-30
286,The US election is likely the most bet-on event in history - CNN,"Americans aren't the only ones obsessed with next Tuesday's vote. British bettors are wagering a record amount of money on the US presidential election, dwarfing the amount wagered on any sporting event or even their own nation's politics.",2020-10-30
287,Texas surpasses 2016 total voter turnout,"More than 9 million people have voted in the key state of Texas, surpassing the state’s total turnout from the 2016 general election, with one more day of in-person early voting and Election Day voting to go. ",2020-10-30
288,SE Cupp: Republicans skipping debates is a middle finger to voters - CNN Video,"Sen. David Perdue (R-GA) is the latest in Republican senators skipping out on debates against their challengers, joining the likes of Sen. Lindsey Graham (R-SC) and Sen. Roger Marshall (R-KS). CNN's SE Cupp calls the pattern a ""middle finger to voters.""",2020-10-30
289,The 2 BIG reasons why we aren't likely to see the election called on November 3 - CNNPolitics,The big question heading into the final weekend of the 2020 campaign is this: Will we know who won the White House on Tuesday?,2020-10-30
290,Trump will hold rallies in 7 states in final days of election,President Trump is planning to hold rallies in seven states in the final stretch before Election Day Tuesday.,2020-10-30
291,SE Cupp: Republicans skipping debates is a middle finger to voters - CNN Video,"Sen. David Perdue (R-GA) is the latest in Republican senators skipping out on debates against their challengers, joining the likes of Sen. Lindsey Graham (R-SC) and Sen. Roger Marshall (R-KS). CNN's SE Cupp calls the pattern a ""middle finger to voters.""",2020-10-30
292,Opinion: Republican female Senators are facing a crisis of their own making - CNN,Jill Filipovic writes that four Republican female US senators are facing tough reelections this year -- and it's largely their own fault. They want to enjoy feminist gains while working for a party that actively tries to thwart the ability of other women to see similar successes and pursue their own ambitions. ,2020-10-30
293,The 2 BIG reasons why we aren't likely to see the election called on November 3 - CNNPolitics,The big question heading into the final weekend of the 2020 campaign is this: Will we know who won the White House on Tuesday?,2020-10-30
294,SE Cupp: Republicans skipping debates is a middle finger to voters - CNN Video,"Sen. David Perdue (R-GA) is the latest in Republican senators skipping out on debates against their challengers, joining the likes of Sen. Lindsey Graham (R-SC) and Sen. Roger Marshall (R-KS). CNN's SE Cupp calls the pattern a ""middle finger to voters.""",2020-10-30
295,Opinion: Republican female Senators are facing a crisis of their own making - CNN,Jill Filipovic writes that four Republican female US senators are facing tough reelections this year -- and it's largely their own fault. They want to enjoy feminist gains while working for a party that actively tries to thwart the ability of other women to see similar successes and pursue their own ambitions. ,2020-10-30
296,Texas 2020 early voting surpasses 2016 total voter turnout,"More than 9 million people have voted in the key state of Texas, surpassing the state’s total turnout from the 2016 general election, with one more day of in-person early voting and Election Day voting to go. ",2020-10-30
297,78 seconds that will actually make you feel good about politics - CNNPolitics,"The end of a presidential campaign is always a nasty thing. Wanting to leave no political attack un-launched, both sides tend to drop as much opposition research as they can onto their opponent right before voters got to the polls to pick the next leader of the country.",2020-10-30
298,House Oversight Committee moves to subpoena border agency over lewd social media posts - CNNPolitics,"The Democratic-led House Oversight Committee plans to subpoena US Customs and Border Protection for documents relating to inappropriate or derogatory social media posts or the Facebook groups that had such posts, according to a memo obtained by CNN. ",2020-10-30
299,78 seconds that will actually make you feel good about politics - CNNPolitics,"The end of a presidential campaign is always a nasty thing. Wanting to leave no political attack un-launched, both sides tend to drop as much opposition research as they can onto their opponent right before voters got to the polls to pick the next leader of the country.",2020-10-30
300,Election Day is also a referendum on Trump's era of 'fake news' - CNN,"If Joe Biden prevails next week, it will be -- among a hundred other things -- a repudiation of President Trump's real-is-fake, down-is-up rhetoric. ",2020-10-30
301,Digital political operatives turn to TikTok to get out the vote - CNNPolitics,"TikTok is the latest political battlefield in the 2020 election, with groups on the left and right, as well as nonpartisan civic organizations, putting money behind TikTok creators to turn out the youth vote. ",2020-10-30
302,House Oversight Committee moves to subpoena border agency over lewd social media posts - CNNPolitics,"The Democratic-led House Oversight Committee plans to subpoena US Customs and Border Protection for documents relating to inappropriate or derogatory social media posts or the Facebook groups that had such posts, according to a memo obtained by CNN. ",2020-10-30
303,In pictures: America votes 2020,"Election Day is less than a week away, but more than 75 million Americans have already voted. That's over a third of all registered voters.",2020-10-30
304,"With 4 days until Election Day, here's how many people have voted so far in some key states","It's the Friday before the 2020 presidential election, and many states are entering their final days of early voting.",2020-10-30
305,Election Day is also a referendum on Trump's era of 'fake news' - CNN,"If Joe Biden prevails next week, it will be -- among a hundred other things -- a repudiation of President Trump's real-is-fake, down-is-up rhetoric. ",2020-10-30
306,Texas' 2020 early voting surpasses total turnout in 2016 election - CNNPolitics,"More than 9 million people have voted early in the key state of Texas, surpassing the state's total turnout from the 2016 general election, with one more day of in-person early voting remaining Friday ahead of Election Day.",2020-10-30
307,New Zealand votes to legalize euthanasia - CNN,New Zealanders have voted in favor of legalizing euthanasia for people with a terminal illness -- clearing the way for the controversial proposition to become law in 2021.  ,2020-10-30
308,New Zealand votes to legalize euthanasia - CNN,New Zealanders have voted in favor of legalizing euthanasia for people with a terminal illness -- clearing the way for the controversial proposition to become law in 2021.  ,2020-10-30
309,"At least 4 killed, says Turkish health minister","At least four people have died following the earthquake, Turkey’s health minister Fahrettin Koca said on Twitter. ",2020-10-30
310,Eric Holder accuses Republicans of using courts to facilitate 'cheating' - CNNPolitics,"Former US Attorney General Eric Holder accused Republicans of using court challenges to facilitate ""cheating"" in the 2020 election and attempting to ""suppress the vote all through the process.""",2020-10-30
311,Texas' 2020 early voting surpasses total turnout in 2016 election - CNNPolitics,"More than 9 million people have voted early in the key state of Texas, surpassing the state's total turnout from the 2016 general election, with one more day of in-person early voting remaining Friday ahead of Election Day. ",2020-10-30
312,US cites 'credible allegations' of fraud in Tanzania election - CNN,"The United States said on Thursday there were ""serious doubts"" about the credibility of Tanzania's presidential election while the leading opposition candidate urged countries not to recognize the results of a ""travesty"" of a poll.",2020-10-30
313,Eric Holder accuses Republicans of using courts to facilitate 'cheating' - CNNPolitics,"Former US Attorney General Eric Holder accused Republicans of using court challenges to facilitate ""cheating"" in the 2020 election and attempting to ""suppress the vote all through the process.""",2020-10-30
314,Texas' 2020 early voting surpasses total turnout in 2016 election - CNNPolitics,"More than 9 million people have voted early in the key state of Texas, surpassing the state's total turnout from the 2016 general election, with one more day of in-person early voting remaining Friday ahead of Election Day. ",2020-10-30
315,The US election is likely the most bet-on event in history - CNN,"Americans aren't the only ones obsessed with next Tuesday's vote. British bettors are wagering a record amount of money on the US presidential election, dwarfing the amount wagered on any sporting event or even their own nation's politics.",2020-10-30
316,Eric Holder accuses Republicans of using courts to facilitate 'cheating' - CNNPolitics,"Former US Attorney General Eric Holder accused Republicans of using court challenges to facilitate ""cheating"" in the 2020 election and attempting to ""suppress the vote all through the process.""",2020-10-30
317,Eric Holder accuses Republicans of using courts to facilitate 'cheating' - CNNPolitics,"Former US Attorney General Eric Holder accused Republicans of using court challenges to facilitate ""cheating"" in the 2020 election and attempting to ""suppress the vote all through the process.""",2020-10-30
318,Texas' 2020 early voting surpasses total turnout in 2016 election - CNNPolitics,"More than 9 million people have voted early in the key state of Texas, surpassing the state's total turnout from the 2016 general election, with one more day of in-person early voting remaining Friday ahead of Election Day. ",2020-10-30
319,US cites 'credible allegations' of fraud in Tanzania election - CNN,"The United States said on Thursday there were ""serious doubts"" about the credibility of Tanzania's presidential election while the leading opposition candidate urged countries not to recognize the results of a ""travesty"" of a poll.",2020-10-30
320,Watch these zoo animals predict the US presidential election - CNN Video,"Russia's ""furriest"" political forecasters have meticulously calculated their predictions for the US presidential election using watermelons. ",2020-10-30
321,Wisconsin is a 2020 swing state. Here's what Trump needs to win - CNN Video,Wisconsin was a pivotal Rust Belt win in Donald Trump's 2016 election. John King breaks down the areas Trump will need to defend to repeat his victory.,2020-10-30
322,Watch these zoo animals predict the US presidential election - CNN Video,"Russia's ""furriest"" political forecasters have meticulously calculated their predictions for the US presidential election using watermelons. ",2020-10-30
323,"Americans, your vote matters for the planet's survival (opinion)  - CNN","John D. Sutter answers readers who asked whether a vote for Joe Biden and Sen. Kamala Harris could make a real difference in the fight to stem the climate crisis. Sutter says the answer is a clear yes; for Americans, the 2020 presidential vote is a choice between the potential of doing something substantive on climate and a track record of doing more-than-nothing.",2020-10-30
324,Trump relying on government officials in final campaign stretch - CNNPolitics,"As President Donald Trump makes a hurried final push for reelection, he is relying not only on his campaign staff but on government officials to transmit his message to voters, a breach of longstanding norms that have mostly been erased over his four-year tenure.",2020-10-30
325,"Americans, your vote matters for the planet's survival (opinion)  - CNN","John D. Sutter answers readers who asked whether a vote for Joe Biden and Sen. Kamala Harris could make a real difference in the fight to stem the climate crisis. Sutter says the answer is a clear yes; for Americans, the 2020 presidential vote is a choice between the potential of doing something substantive on climate and a track record of doing more-than-nothing.",2020-10-30
326,"Federal appeals court rules mailed ballots must be received by Election Day in Minnesota, cutting weeklong window - CNNPolitics",A federal appeals court ruled Thursday that mailed-in ballots in Minnesota must be received by elections officials no later than Election Day.,2020-10-30
327,"Americans, your vote matters for the planet's survival (opinion)  - CNN","John D. Sutter answers readers who asked whether a vote for Joe Biden and Sen. Kamala Harris could make a real difference in the fight to stem the climate crisis. Sutter says the answer is a clear yes; for Americans, the 2020 presidential vote is a choice between the potential of doing something substantive on climate and a track record of doing more-than-nothing.",2020-10-30
328,Trump relying on government officials in final campaign stretch - CNNPolitics,"As President Donald Trump makes a hurried final push for reelection, he is relying not only on his campaign staff but on government officials to transmit his message to voters, a breach of longstanding norms that have mostly been erased over his four-year tenure.",2020-10-30
329,"Federal appeals court rules mailed ballots must be received by Election Day in Minnesota, cutting weeklong window - CNNPolitics",A federal appeals court ruled Thursday that mailed-in ballots in Minnesota must be received by elections officials no later than Election Day.,2020-10-30
330,"Diego Maradona cumple 60 años: 10 historias sobre el ""D10S"" del fútbol","Diego Armando Maradona cumple 60 años y sigue dando de qué hablar, no solo por el eterno debate sobre si es el mejor de la historia.",2020-10-30
331,Las grandes palabras asociadas a Trump y Biden a días de las elecciones,"En los últimos días de la campaña, los estadounidenses tienen en mente el coronavirus y el debate cuando se les pregunta sobre Trump y Biden.",2020-10-30
332,Fact check: Trump falsely claims Biden has refused to condemn Philadelphia violence - CNNPolitics,President Donald Trump continues to make false accusations about opponent Joe Biden's position on criminal justice issues.,2020-10-30
333,Breonna Taylor grand jurors say there was an 'uproar' when they realized officers wouldn't be charged with her death - CNN,"Two grand jurors who heard the Kentucky Attorney General's Office presentation of the Breonna Taylor case say prosecutors were dismissive of their questions and that there was an ""uproar"" when jurors realized Louisville police officers wouldn't be charged with Taylor's death.",2020-10-30
334,Pelosi says she hopes for stimulus deal in lame duck  - CNNPolitics,"House Speaker Nancy Pelosi and Treasury Secretary Steven Mnuchin, the two top negotiators for a new round of coronavirus relief, are engaged in a public war of words after weeks of private negotiations — casting new doubt on whether congressional Democrats and the Trump administration will be able to reach agreement on stimulus legislation even after next week's election.",2020-10-30
335,Going deeper on the battle for Hispanic voters - CNNPolitics,"The fight for the roughly 32 million eligible Latino voters is on, despite the relatively meager attention this bloc has received. With Election Day near, Latino voters are expected to be consequential in states including Florida and Arizona.",2020-10-30
336,Susan Collins: Maine Republican senator says 'I do not believe systemic racism is a problem in the state' - CNNPolitics,"Sen. Susan Collins, a Maine Republican defending her seat in a competitive reelection fight, said during a debate on Wednesday that she does not think that systemic racism is a problem in the state.",2020-10-30
337,Fact check: Trump falsely claims Biden has refused to condemn Philadelphia violence - CNNPolitics,President Donald Trump continues to make false accusations about opponent Joe Biden's position on criminal justice issues.,2020-10-30
338,Fact check: Trump falsely claims Biden has refused to condemn Philadelphia violence - CNNPolitics,President Donald Trump continues to make false accusations about opponent Joe Biden's position on criminal justice issues.,2020-10-30
339,"Biden campaign blames Facebook for $500,000 in lost fundraising  - CNN","Democratic nominee Joe Biden's campaign said Thursday it had lost out on more than $500,000 in potential campaign donations this week and blamed Facebook after issues with the social media's advertising systems had prevented the campaign from running some ads soliciting donations. ",2020-10-30
340,Fact check: Trump falsely claims Biden has refused to condemn Philadelphia violence - CNNPolitics,President Donald Trump continues to make false accusations about opponent Joe Biden's position on criminal justice issues.,2020-10-30
341,"Biden campaign blames Facebook for $500,000 in lost fundraising  - CNN","Democratic nominee Joe Biden's campaign said Thursday it had lost out on more than $500,000 in potential campaign donations this week and blamed Facebook after issues with the social media's advertising systems had prevented the campaign from running some ads soliciting donations. ",2020-10-30
342,"Biden campaign blames Facebook for $500,000 in lost fundraising  - CNN","Democratic nominee Joe Biden's campaign said Thursday it had lost out on more than $500,000 in potential campaign donations this week and blamed Facebook after issues with the social media's advertising systems had prevented the campaign from running some ads soliciting donations. ",2020-10-30
343,Al Gore on what makes this presidential election different from 2000 - CNN Video,"CNN's Chris Cuomo speaks with former Democratic presidential nominee, Al Gore, about the similarities and differences between the 2020 presidential election, and the election Gore lost back in 2000. ",2020-10-30
344,Wisconsin voter: This is my biggest reason for voting for Trump ... - CNN Video,CNN's Bill Weir speaks with Wisconsin voters about how President Donald Trump's handling of the coronavirus will impact their vote in the 2020 election.,2020-10-30
345,"Biden campaign blames Facebook for $500,000 in lost fundraising  - CNN","Democratic nominee Joe Biden's campaign said Thursday it had lost out on more than $500,000 in potential campaign donations this week and blamed Facebook after issues with the social media's advertising systems had prevented the campaign from running some ads soliciting donations. ",2020-10-30
346,Fact check: Can you change your vote after it's been cast? - CNNPolitics,President Donald Trump has spent much of the week before Election Day spreading disinformation about the voting process.   ,2020-10-30
347,Fact check: Can you change your vote after it's been cast? - CNNPolitics,President Donald Trump has spent much of the week before Election Day spreading disinformation about the voting process.   ,2020-10-30
348,Fact check: Can you change your vote after it's been cast? - CNNPolitics,President Donald Trump has spent much of the week before Election Day spreading disinformation about the voting process.   ,2020-10-30
349,Thousands call Pennsylvania county about requested ballots that never arrived - CNNPolitics,"The whereabouts of an untold number of ballots in Pennsylvania's Butler County that were slated for delivery to would-be voters in next week's election remain unaccounted for, the county's director of elections said Thursday.",2020-10-30
350,Fact check: Can you change your vote after it's been cast? - CNNPolitics,President Donald Trump has spent much of the week before Election Day spreading disinformation about the voting process.   ,2020-10-30
351,Election Day is also a referendum on Trump's era of 'fake news' - CNN,"If Joe Biden prevails next week, it will be -- among a hundred other things -- a repudiation of President Trump's real-is-fake, down-is-up rhetoric. ",2020-10-30
352,House Oversight Committee moves to subpoena border agency over lewd social media posts - CNNPolitics,"The Democratic-led House Oversight Committee plans to subpoena US Customs and Border Protection for documents relating to inappropriate or derogatory social media posts or the Facebook groups that had such posts, according to a memo obtained by CNN. ",2020-10-30
353,Meet the political pundits of TikTok - CNN Video,"TikTok has viral dance trends, comedy bits and... political debates. These political influencers are shaping how the next generation participates in democracy.",2020-10-30
354,'Do not wait': Court cases throw late-arriving votes into doubt - CNNPolitics,"Voters in several key swing states are now rolling the dice if they mail in their ballots, with their votes potentially jeopardized if they don't arrive by Election Day.",2020-10-30
355,Trump and Biden will both campaign in Wisconsin and Michigan today in final stretch to Election Day,"Former Vice President Joe Biden and President Donald Trump went head-to-head in the swing state of Florida on Thursday, and will cross paths again today when they both campaign in Wisconsin and Minnesota. ",2020-10-30
356,"'Don't end up a real ghost,' South Korean officials warn, fearing Halloween virus surge - CNN","South Korean officials are stepping up efforts to ensure locals stick to social distancing guidelines during Halloween, warning this year's party ""could really turn scary"" as it tries to avoid another resurgence in coronavirus infections.",2020-10-30
357,Kanye's gift  to Kim Kardashian of Robert Kardashian hologram stirs debate again - CNN,Loving gift or creepy?,2020-10-30
358,Democratic concerns about Latino support linger in final days of campaign - CNNPolitics,"Democrats are concerned about lower enthusiasm among Latino voters in the final days of the 2020 campaign, warning it could cause the party and its presidential nominee Joe Biden to come up short in key states on Election Day.",2020-10-30
359,Thousands call Pennsylvania county about requested ballots that never arrived - CNNPolitics,"The whereabouts of an untold number of ballots in Pennsylvania's Butler County that were slated for delivery to would-be voters in next week's election remain unaccounted for, the county's director of elections said Thursday.",2020-10-30
360,Democratic concerns about Latino support linger in final days of campaign - CNNPolitics,"Democrats are concerned about lower enthusiasm among Latino voters in the final days of the 2020 campaign, warning it could cause the party and its presidential nominee Joe Biden to come up short in key states on Election Day.",2020-10-30
361,"'Don't end up a real ghost,' South Korean officials warn, fearing Halloween virus surge - CNN","South Korean officials are stepping up efforts to ensure locals stick to social distancing guidelines during Halloween, warning this year's party ""could really turn scary"" as it tries to avoid another resurgence in coronavirus infections.",2020-10-30
362,Thousands call Pennsylvania county about requested ballots that never arrived - CNNPolitics,"The whereabouts of an untold number of ballots in Pennsylvania's Butler County that were slated for delivery to would-be voters in next week's election remain unaccounted for, the county's director of elections said Thursday.",2020-10-30
363,Democratic concerns about Latino support linger in final days of campaign - CNNPolitics,"Democrats are concerned about lower enthusiasm among Latino voters in the final days of the 2020 campaign, warning it could cause the party and its presidential nominee Joe Biden to come up short in key states on Election Day.",2020-10-30
364,"US election 2020: Latest news on Biden, Trump and voting","With the election just days away, the race between President Trump and former Vice President Joe Biden heats up. Here's the latest news on campaigns, voting and more. ",2020-10-30
365,Turkey earthquake: Magnitude-7.0 tremor strikes in the Aegean Sea - CNN,"A 7.0-magnitude earthquake hit the Aegean Sea on Friday afternoon, jolting western Turkey and destroying buildings in coastal cities there.",2020-10-30
